GeneID,GeneName,Family_Subfamily,ProteinClass,GO_MF,GO_BP,GO_CC
Zm00001eb338260,glutathione gamma-glutamylcysteinyltransferase,GLUTATHIONE GAMMA-GLUTAMYLCYSTEINYLTRANSFERASE (PTHR33447:SF23),,transferase activity(GO:0016740);acyltransferase activity(GO:0016746);glutathione gamma-glutamylcysteinyltransferase activity(GO:0016756);metal ion binding(GO:0046872),response to metal ion(GO:0010038);detoxification of copper ion(GO:0010273);phytochelatin biosynthetic process(GO:0046938);cellular detoxification of cadmium ion(GO:0098849),
Zm00001eb349510,EamA domain-containing protein,OS05G0409500 PROTEIN (PTHR31218:SF399),,,,
Zm00001eb216690,Histone-lysine N-methyltransferase ASHR1,EG:BACR7C10.4 PROTEIN (PTHR12197:SF251),histone modifying enzyme(PC00261),methyltransferase activity(GO:0008168);zinc ion binding(GO:0008270);protein-lysine N-methyltransferase activity(GO:0016279);transferase activity(GO:0016740);histone methyltransferase activity(GO:0042054);metal ion binding(GO:0046872),chromatin remodeling(GO:0006338);methylation(GO:0032259),nucleus(GO:0005634)
Zm00001eb064920,Coatomer subunit zeta,TSET COMPLEX MEMBER TSTD (PTHR11043:SF1),vesicle coat protein(PC00235),,"intracellular protein transport(GO:0006886);retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum(GO:0006890);intra-Golgi vesicle-mediated transport(GO:0006891);protein transport(GO:0015031);vesicle-mediated transport(GO:0016192)",Golgi membrane(GO:0000139);cytoplasm(GO:0005737);COPI vesicle coat(GO:0030126);COPI-coated vesicle membrane(GO:0030663);cytoplasmic vesicle(GO:0031410)
Zm00001eb292790,C2C2-DOF transcription factor,,,DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb317040,NAD-dependent epimerase_dehydratase domain-containing protein,TETRAKETIDE ALPHA-PYRONE REDUCTASE 1 (PTHR10366:SF821),dehydratase(PC00091),"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616)",,
Zm00001eb433180,cysteine dioxygenase,PLANT CYSTEINE OXIDASE 3 (PTHR22966:SF29),,"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen(GO:0016702);cysteine dioxygenase activity(GO:0017172);metal ion binding(GO:0046872)",detection of hypoxia(GO:0070483),
Zm00001eb215750,Protein kinase domain-containing protein,CYCLIN-DEPENDENT KINASE 12 (PTHR24056:SF546),non-receptor serine/threonine protein kinase(PC00167),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);cyclin-dependent protein serine/threonine kinase activity(GO:0004693);ATP binding(GO:0005524);RNA polymerase II CTD heptapeptide repeat kinase activity(GO:0008353);kinase activity(GO:0016301);transferase activity(GO:0016740),response to virus(GO:0009615);positive regulation of transcription elongation by RNA polymerase II(GO:0032968);regulation of cell cycle(GO:0051726),cyclin-dependent protein kinase holoenzyme complex(GO:0000307);nucleus(GO:0005634)
Zm00001eb011320,Putative dynamin-related protein 4A,DYNAMIN-RELATED PROTEIN 4C (PTHR11566:SF173),membrane traffic protein(PC00150),nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525);microtubule binding(GO:0008017),,cytoplasm(GO:0005737);microtubule(GO:0005874);membrane(GO:0016020)
Zm00001eb314390,Uncharacterized protein,UPF0545 PROTEIN C22ORF39 (PTHR28052:SF1),,,,
Zm00001eb222510,H(+)_Pi cotransporter,INORGANIC PHOSPHATE TRANSPORTER 1-8-RELATED (PTHR24064:SF674),secondary carrier transporter(PC00258),phosphate transmembrane transporter activity(GO:0005315);symporter activity(GO:0015293);transmembrane transporter activity(GO:0022857),phosphate ion transport(GO:0006817);transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb210650,Hydroxyproline-rich glycoprotein family protein,HYDROXYPROLINE-RICH GLYCOPROTEIN FAMILY PROTEIN (PTHR34291:SF1),,,,
Zm00001eb311440,Strictosidine synthase conserved region domain-containing protein,OS09G0374900 PROTEIN (PTHR10426:SF139),,,,
Zm00001eb320970,Flavin-containing monooxygenase,FLAVIN-CONTAINING MONOOXYGENASE (PTHR23023:SF226),oxygenase(PC00177),"monooxygenase activity(GO:0004497);N,N-dimethylaniline monooxygenase activity(GO:0004499);oxidoreductase activity(GO:0016491);flavin adenine dinucleotide binding(GO:0050660);NADP binding(GO:0050661)",,
Zm00001eb064780,BRX domain-containing protein,PROTEIN BREVIS RADIX-LIKE 4 (PTHR46058:SF31),,,,nucleus(GO:0005634)
Zm00001eb424650,Protein FATTY ACID EXPORT 1 chloroplastic,OS04G0470300 PROTEIN (PTHR12668:SF16),,fatty acid transmembrane transporter activity(GO:0015245),fatty acid transport(GO:0015908),chloroplast inner membrane(GO:0009706);membrane(GO:0016020)
Zm00001eb314270,Mediator of RNA polymerase II transcription subunit 20,MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 20 (PTHR12465:SF0),ubiquitin-protein ligase(PC00234),transcription coregulator activity(GO:0003712);transcription coactivator activity(GO:0003713),regulation of transcription by RNA polymerase II(GO:0006357);positive regulation of DNA-templated transcription(GO:0045893),nucleus(GO:0005634);mediator complex(GO:0016592);protein-containing complex(GO:0032991)
Zm00001eb368420,E3 ubiquitin-protein ligase RMA,E3 UBIQUITIN-PROTEIN LIGASE RMA (PTHR12313:SF94),ubiquitin-protein ligase(PC00234),ubiquitin-protein transferase activity(GO:0004842);zinc ion binding(GO:0008270);transferase activity(GO:0016740);ubiquitin-like protein conjugating enzyme binding(GO:0044390);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630),ubiquitin-dependent protein catabolic process(GO:0006511);protein ubiquitination(GO:0016567);ERAD pathway(GO:0036503),cytoplasm(GO:0005737);endoplasmic reticulum(GO:0005783);endoplasmic reticulum membrane(GO:0005789);endomembrane system(GO:0012505)
Zm00001eb071500,Ubiquitin-specific protease family C19-related protein,OS08G0230200 PROTEIN (PTHR33709:SF4),,,,
Zm00001eb151450,Vacuolar protein sorting-associated protein 28 homolog,VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 28 HOMOLOG (PTHR12937:SF0),membrane traffic protein(PC00150),protein-containing complex binding(GO:0044877),protein transport(GO:0015031);endosome transport via multivesicular body sorting pathway(GO:0032509);protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway(GO:0043328),ESCRT I complex(GO:0000813);endosome(GO:0005768)
Zm00001eb103470,Hexosyltransferase,POLYGALACTURONATE 4-ALPHA-GALACTURONOSYLTRANSFERASE (PTHR32116:SF4),transferase(PC00220),glycosyltransferase activity(GO:0016757);polygalacturonate 4-alpha-galacturonosyltransferase activity(GO:0047262),pectin biosynthetic process(GO:0045489);cell wall organization(GO:0071555),Golgi membrane(GO:0000139)
Zm00001eb258460,Casein kinase I,OS02G0810400 PROTEIN (PTHR11909:SF487),non-receptor serine/threonine protein kinase(PC00167),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),endocytosis(GO:0006897);signal transduction(GO:0007165),nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb121500,cytokinin dehydrogenase,CYTOKININ DEHYDROGENASE 1 (PTHR13878:SF42),oxidase(PC00175),catalytic activity(GO:0003824);oxidoreductase activity(GO:0016491);cytokinin dehydrogenase activity(GO:0019139);flavin adenine dinucleotide binding(GO:0050660);FAD binding(GO:0071949),cytokinin metabolic process(GO:0009690),
Zm00001eb372200,Putative fructokinase-6 chloroplastic,PSEUDOURIDINE KINASE-RELATED (PTHR43085:SF1),carbohydrate kinase(PC00065),nucleotide binding(GO:0000166);ATP binding(GO:0005524);fructokinase activity(GO:0008865);kinase activity(GO:0016301);transferase activity(GO:0016740),fructose metabolic process(GO:0006000);fatty acid biosynthetic process(GO:0006633);carbohydrate biosynthetic process(GO:0016051);carbohydrate phosphorylation(GO:0046835),cytoplasm(GO:0005737);cytosol(GO:0005829);chloroplast(GO:0009507)
Zm00001eb412500,Bifunctional dethiobiotin synthetase_78-diamino-pelargonic acid aminotransferase mitochondrial,ADENOSYLMETHIONINE-8-AMINO-7-OXONONANOATE AMINOTRANSFERASE (PTHR42684:SF3),transaminase(PC00216),nucleotide binding(GO:0000166);magnesium ion binding(GO:0000287);catalytic activity(GO:0003824);adenosylmethionine-8-amino-7-oxononanoate transaminase activity(GO:0004015);dethiobiotin synthase activity(GO:0004141);ATP binding(GO:0005524);transaminase activity(GO:0008483);transferase activity(GO:0016740);ligase activity(GO:0016874);pyridoxal phosphate binding(GO:0030170);metal ion binding(GO:0046872),biotin biosynthetic process(GO:0009102),mitochondrion(GO:0005739)
Zm00001eb013950,Xyloglucan 6-xylosyltransferase 2,XYLOGLUCAN 6-XYLOSYLTRANSFERASE 2 (PTHR31311:SF5),transferase(PC00220),transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);hexosyltransferase activity(GO:0016758);xyloglucan 6-xylosyltransferase activity(GO:0033843);UDP-xylosyltransferase activity(GO:0035252),xyloglucan biosynthetic process(GO:0009969),Golgi membrane(GO:0000139);membrane(GO:0016020)
Zm00001eb062130,BHLH transcription factor (Fragment),TRANSCRIPTION FACTOR BHLH106-RELATED (PTHR45844:SF19),basic helix-loop-helix transcription factor(PC00055),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983),regulation of DNA-templated transcription(GO:0006355),
Zm00001eb001950,PBA1 homolog1,"PROTEIN CURVATURE THYLAKOID 1A, CHLOROPLASTIC (PTHR33222:SF4)",,,,chloroplast thylakoid membrane(GO:0009535);thylakoid(GO:0009579);membrane(GO:0016020)
Zm00001eb058770,Calmodulin-like protein 41,CALCIUM-BINDING PROTEIN CML41-RELATED (PTHR10891:SF995),calmodulin-related(PC00061),calcium ion binding(GO:0005509),,
Zm00001eb325410,"Chlorophyll a-b binding protein, chloroplastic","PHOTOSYSTEM I CHLOROPHYLL A_B-BINDING PROTEIN 2, CHLOROPLASTIC (PTHR21649:SF80)",,chlorophyll binding(GO:0016168);metal ion binding(GO:0046872),"response to light stimulus(GO:0009416);photosynthesis, light harvesting(GO:0009765);photosynthesis, light harvesting in photosystem I(GO:0009768);photosynthesis(GO:0015979)",photosystem I(GO:0009522);photosystem II(GO:0009523);chloroplast thylakoid membrane(GO:0009535);membrane(GO:0016020)
Zm00001eb071570,Plant intracellular Ras-group-related LRR protein 7,PLANT INTRACELLULAR RAS-GROUP-RELATED LRR PROTEIN 8 (PTHR45752:SF41),scaffold/adaptor protein(PC00226),,intracellular signal transduction(GO:0035556),
Zm00001eb068370,UDP-glycosyltransferase 89B1,UDP-GLYCOSYLTRANSFERASE 89B1 (PTHR48047:SF52),glycosyltransferase(PC00111),UDP-glycosyltransferase activity(GO:0008194);transferase activity(GO:0016740);UDP-glucosyltransferase activity(GO:0035251);glucosyltransferase activity(GO:0046527),,
Zm00001eb143540,DUF506 family protein,F21O3.6 PROTEIN (PTHR31579:SF84),,,,
Zm00001eb336800,DNA_RNA-binding protein Alba-like domain-containing protein,OS01G0173100 PROTEIN (PTHR31947:SF14),,nucleic acid binding(GO:0003676);RNA binding(GO:0003723),,nucleus(GO:0005634)
Zm00001eb184610,adenine phosphoribosyltransferase,ADENINE PHOSPHORIBOSYLTRANSFERASE 5 (PTHR11776:SF22),transferase(PC00220),,,
Zm00001eb031340,ATP binding protein,SERINE_THREONINE-PROTEIN KINASE HT1-LIKE (PTHR23257:SF788),non-receptor serine/threonine protein kinase(PC00167),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);protein tyrosine kinase activity(GO:0004713);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),temperature homeostasis(GO:0001659);signal transduction(GO:0007165);response to blue light(GO:0009637);response to red light(GO:0010114);cellular response to carbon dioxide(GO:0071244);regulation of stomatal opening(GO:1902456),cytoplasm(GO:0005737);cytosol(GO:0005829)
Zm00001eb328970,Peptidase C15 pyroglutamyl peptidase I-like,PYROGLUTAMYL-PEPTIDASE I (PTHR23402:SF1),cysteine protease(PC00081),peptidase activity(GO:0008233);cysteine-type peptidase activity(GO:0008234);hydrolase activity(GO:0016787);pyroglutamyl-peptidase activity(GO:0016920),proteolysis(GO:0006508),cytosol(GO:0005829)
Zm00001eb357860,Amino-acid permease BAT1,AMINO-ACID PERMEASE BAT1 (PTHR45649:SF30),,L-glutamate transmembrane transporter activity(GO:0005313);L-alanine transmembrane transporter activity(GO:0015180);gamma-aminobutyric acid transmembrane transporter activity(GO:0015185);L-lysine transmembrane transporter activity(GO:0015189);transmembrane transporter activity(GO:0022857),L-alanine transport(GO:0015808);gamma-aminobutyric acid transport(GO:0015812);L-glutamate transmembrane transport(GO:0015813);transmembrane transport(GO:0055085);L-lysine transmembrane transport(GO:1903401),membrane(GO:0016020)
Zm00001eb296790,DNA glycosylase superfamily protein,DNA-3-METHYLADENINE GLYCOSYLASE (PTHR43003:SF5),DNA glycosylase(PC00010),damaged DNA binding(GO:0003684);catalytic activity(GO:0003824);DNA-3-methyladenine glycosylase activity(GO:0008725);alkylated DNA binding(GO:0032131);DNA-7-methylguanine glycosylase activity(GO:0043916),"DNA repair(GO:0006281);base-excision repair(GO:0006284);base-excision repair, AP site formation(GO:0006285);DNA alkylation repair(GO:0006307);DNA damage response(GO:0006974)",nucleus(GO:0005634)
Zm00001eb060050,Chaperone DNA J homolog1,CHAPERONE PROTEIN DNAJ 2-RELATED (PTHR43888:SF28),chaperone(PC00072),ATPase activator activity(GO:0001671);ATP binding(GO:0005524);zinc ion binding(GO:0008270);Hsp70 protein binding(GO:0030544);heat shock protein binding(GO:0031072);metal ion binding(GO:0046872);unfolded protein binding(GO:0051082),protein folding(GO:0006457);response to heat(GO:0009408);cellular response to heat(GO:0034605);protein refolding(GO:0042026),endoplasmic reticulum(GO:0005783);cytosol(GO:0005829)
Zm00001eb295770,HSP40_DnaJ peptide-binding protein,OS05G0562300 PROTEIN (PTHR24078:SF577),chaperone(PC00072),unfolded protein binding(GO:0051082);protein-folding chaperone binding(GO:0051087),protein folding(GO:0006457),endoplasmic reticulum(GO:0005783);cytosol(GO:0005829)
Zm00001eb253080,Phosphatidylinositol_phosphatidylcholine transfer protein SFH13,PHOSPHATIDYLINOSITOL_PHOSPHATIDYLCHOLINE TRANSFER PROTEIN SFH13 (PTHR45657:SF8),,phosphatidylinositol transfer activity(GO:0008526),post-Golgi vesicle-mediated transport(GO:0006892);protein transport(GO:0015031);phospholipid transport(GO:0015914);intermembrane lipid transfer(GO:0120009),Golgi membrane(GO:0000139);plasma membrane(GO:0005886)
Zm00001eb130200,Uncharacterized protein,,,transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb137900,Heat shock protein 90-6 mitochondrial,"HEAT SHOCK PROTEIN 90-6, MITOCHONDRIAL (PTHR11528:SF41)",Hsp90 family chaperone(PC00028),nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);unfolded protein binding(GO:0051082);ATP-dependent protein folding chaperone(GO:0140662),protein folding(GO:0006457);cellular response to heat(GO:0034605);protein stabilization(GO:0050821),cytoplasm(GO:0005737);cytosol(GO:0005829);plasma membrane(GO:0005886);protein-containing complex(GO:0032991);perinuclear region of cytoplasm(GO:0048471)
Zm00001eb364400,CBS domain-containing protein,OJ1485_B09.7 PROTEIN (PTHR13780:SF93),kinase modulator(PC00140),,,
Zm00001eb088150,Glycosyltransferase,UDP-GLYCOSYLTRANSFERASE 79 (PTHR11926:SF732),transferase(PC00220),UDP-glycosyltransferase activity(GO:0008194);transferase activity(GO:0016740);quercetin 3-O-glucosyltransferase activity(GO:0080043);quercetin 7-O-glucosyltransferase activity(GO:0080044),detoxification(GO:0098754),cytoplasm(GO:0005737)
Zm00001eb396610,Glycosyltransferase 5,XYLOGLUCAN 6-XYLOSYLTRANSFERASE 2 (PTHR31311:SF5),transferase(PC00220),transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);hexosyltransferase activity(GO:0016758);xyloglucan 6-xylosyltransferase activity(GO:0033843);UDP-xylosyltransferase activity(GO:0035252),xyloglucan biosynthetic process(GO:0009969),Golgi membrane(GO:0000139);membrane(GO:0016020)
Zm00001eb288380,Bzip transcription factor-like,"FAMILY PROTEIN, PUTATIVE (DUF630 AND DUF632)-RELATED (PTHR21450:SF2)",,,,
Zm00001eb338020,Protein kinase superfamily protein,PROTEIN KINASE SUPERFAMILY PROTEIN (PTHR23257:SF772),non-receptor serine/threonine protein kinase(PC00167),protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301),signal transduction(GO:0007165),cytoplasm(GO:0005737)
Zm00001eb052690,NusB_RsmB_TIM44 domain-containing protein,ANTITERMINATION NUSB DOMAIN-CONTAINING PROTEIN (PTHR11078:SF3),,RNA binding(GO:0003723),DNA-templated transcription termination(GO:0006353);regulation of DNA-templated transcription(GO:0006355);transcription antitermination(GO:0031564),
Zm00001eb172410,Putative NAC domain transcription factor superfamily protein,NAC DOMAIN-CONTAINING PROTEIN 14-RELATED (PTHR31989:SF320),,transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634);membrane(GO:0016020)
Zm00001eb252770,Zinc finger BED domain-containing protein DAYSLEEPER,ZINC FINGER BED DOMAIN-CONTAINING PROTEIN DAYSLEEPER (PTHR34055:SF5),,DNA binding(GO:0003677),,
Zm00001eb417460,F-box protein SKIP19,F-BOX_LRR-REPEAT PROTEIN 21-RELATED (PTHR38926:SF2),,SCF ubiquitin ligase complex binding(GO:1905761),,
Zm00001eb389670,Pollen receptor-like kinase 4,POLLEN RECEPTOR-LIKE KINASE 1 (PTHR48007:SF64),transmembrane signal receptor(PC00197),protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301),,plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb403580,NAC domain-containing protein,NAC DOMAIN-CONTAINING PROTEIN 105 (PTHR31744:SF236),,DNA binding(GO:0003677),regulation of DNA-templated transcription(GO:0006355),
Zm00001eb374580,Multidrug resistance-associated protein 11,ATP-BINDING CASSETTE SUB-FAMILY C MEMBER 10 (PTHR24223:SF330),ATP-binding cassette (ABC) transporter(PC00003),nucleotide binding(GO:0000166);ATP binding(GO:0005524);ABC-type xenobiotic transporter activity(GO:0008559);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359),organic anion transport(GO:0015711);xenobiotic transport(GO:0042908);transmembrane transport(GO:0055085),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb334460,Beta-glucosidase 44,BETA-GLUCOSIDASE 1 (PTHR10353:SF330),glycosidase(PC00110),"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);beta-glucosidase activity(GO:0008422);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)",carbohydrate metabolic process(GO:0005975),
